PropertyName,Address1,Address2,City,State,Zip,Latitude,Longitude,Phone,Website
BB&T Bank (West Main),401 W Main St #100,, Louisville,KY,40202,38.257176,-85.757041,(502) 562-5401,http://www.bbt.com/
BB&T Bank (Bardstown),1339 Bardstown Road,, Louisville,KY,40204,38.2346632,-85.7138786,(502) 451-1082,http://www.bbt.com/
BB&T Bank (St.Matthews),3747 Lexington Road,, Louisville,KY,40207,38.2528074,-85.6577343,(502) 891-2667,http://www.bbt.com/
BB&T Bank (St.Matthews),4507 Shelbyville Road,, Louisville,KY,40207,38.251209,-85.630842,(502) 891-2660,http://www.bbt.com/
BB&T Bank (Bluegrass Parkway),11490 Bluegrass Parkway,, Louisville,KY,40299,38.2184578,-85.5421875,(800) 550-1274,http://www.bbt.com/
BB&T Bank (Bashford Manor),3534 Bardstown Road,, Louisville,KY,40218,38.2006595,-85.6635132,(502) 452-6595,http://www.bbt.com/
BB&T Bank Insurance Services,2600 Eastpoint Parkway,, Louisville,KY,40223,38.284503,-85.508671,(502) 489-5900,http://www.bbt.com/
BB&T Bank (Springhurst),9510 Brownsboro Road,, Louisville,KY,40241,38.307363,-85.574155,(502) 412-0416,http://www.bbt.com/
BB&T Bank (Dixie),5110 Dixie Highway,, Louisville,KY,40216,38.167708,-85.82986,(502) 449-7340,http://www.bbt.com/
BB&T Bank (Park Place),9050 Dixie Highway,, Louisville,KY,40258,38.12458,-85.8533829,(502) 933-4024,http://www.bbt.com/
BB&T Bank (Southside),7111 Southside Drive,, Louisville,KY,40214,38.1528149,-85.764701,(502) 363-1535,http://www.bbt.com/
BB&T Bank (Russell),2501 W Broadway,, Louisville,KY,40211,38.249819,-85.7934949,(502)772-1025,http://www.bbt.com/
BB&T Bank (Algonquin),3140 Wilson Avenue,, Louisville,KY,40211,38.22463,-85.808701,(502)772-0131,http://www.bbt.com/
BB&T Bank (Taylor),3450 Taylor Boulevard,, Louisville,KY,40215,38.197401,-85.783303,(502)363-1544,http://www.bbt.com/
BB&T Bank (Jeffersonville),2705 E 10th Street,, Jeffersonville,IN,47130,38.3171234,-85.7158106,(812)704-1240,http://www.bbt.com/
BB&T Bank (Preston),5319 Preston Highway,, Louisville,KY,40213,38.171238,-85.7085759,(502)810-0434,http://www.bbt.com/
BB&T Bank (New Albany),4210 Charlestown Road,, New Albany,IN,47160,38.349857,-85.795255,(812)949-9909,http://www.bbt.com/
BB&T Bank (Brownsboro),4908 U.S. 42,, Louisville,KY,40222,38.281444,-85.634026,(502) 412-0171,http://www.bbt.com/
BB&T Bank (Poplar Level),5004 Poplar Level Road,, Louisville,KY,40219,38.166421,-85.681543,(502)810-0427,http://www.bbt.com/
BB&T Bank (Hikes Point),4082 Taylorsville Road,, Louisville,KY,40220,38.2196019,-85.6215314,(502)238-4219,http://www.bbt.com/
BB&T Bank (Jefferson Pavillion),7301 Jefferson Boulevard,, Louisville,KY,40219,38.145373,-85.674408,(502)810-0417,http://www.bbt.com/
BB&T Bank (Stonybrook),2601 S Hurstbourne Parkway,, Jeffersontown,KY,40220,38.212721,-85.593527,(502)493-3460,http://www.bbt.com/
BB&T Bank (Hurstbourne),330 Whittington Parkway,, Louisville,KY,40222,38.241796,-85.577744,(502)412-0273,http://www.bbt.com/
BB&T Bank (Westport Plaza),2900 N Hurstbourne Parkway,, Louisville,KY,40241,38.2886595,-85.57435,(502)231-2297,http://www.bbt.com/
BB&T Bank (Dixie Valley),10403 Dixie Highway,, Louisville,KY,40272,38.104349,-85.868207,(502) 933-1618,http://www.bbt.com/
BB&T Bank (Blankenbaker),721 Blankenbaker Parkway,, Louisville,KY,40243,38.2312889,-85.542046,(502)267-1078,http://www.bbt.com/
BB&T Bank (Fern Creek),6740 Bardstown Road,, Louisville,KY,40291,38.147839,-85.58693,(502) 231-0176,http://www.bbt.com/
Chase Bank (Bardstown),1718 Bardstown Road,, Louisville,KY,40205,38.229453,-85.703238,(502) 566-2161,https://www.chase.com/
Chase Bank (Louisville Main),416 W Jefferson Street,, Louisville,KY,40202,38.253469,-85.757489,502-566-2002,https://www.chase.com/
Chase Bank (Medical Center),601 S Floyd Street,, Louisville,KY,40208,38.2477837,-85.7491089,502-566-1901,https://www.chase.com/
Chase Bank (Broadway),2600 W Broadway Suite 101,, Louisville,KY,40211,38.248039,-85.795584,502-566-2231,https://www.chase.com/
