Year,Gender,Award,HigherSAT,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Piercings
Senior,M,Olympic,Math,71,180,4,4,540,670,1210,3.13,0
Sophomore,F,Academy,Math,66,120,2,2,520,630,1150,2.5,3
FirstYear,M,Nobel,Math,72,208,2,1,550,560,1110,2.55,0
Junior,M,Nobel,Math,63,110,1,1,490,630,1120,3.1,0
Sophomore,F,Nobel,Verbal,65,150,1,1,720,450,1170,2.7,6
Sophomore,F,Nobel,Verbal,65,114,2,2,600,550,1150,3.2,4
FirstYear,F,Olympic,Math,66,128,1,1,640,680,1320,2.77,8
Sophomore,M,Olympic,Math,74,235,1,1,660,710,1370,3.3,0
Junior,F,Nobel,Verbal,61,138,2,2,550,550,1100,2.8,7
FirstYear,F,Nobel,Math,60,115,7,8,670,700,1370,3.7,2
Sophomore,F,Olympic,Math,65,140,1,2,500,670,1170,2.09,2
Junior,F,Nobel,Verbal,68,135,2,3,650,650,1300,3.08,4
FirstYear,F,Olympic,Math,63,110,1,2,590,610,1200,3.86,4
FirstYear,F,Olympic,Verbal,63,99,2,1,600,600,1200,3,4
Sophomore,M,Nobel,Verbal,72,165,2,1,700,650,1350,3,0
Sophomore,F,Nobel,Math,62,120,1,1,610,800,1410,3.35,2
Sophomore,F,Olympic,Verbal,67,154,1,2,550,450,1000,3.3,5
Sophomore,F,Nobel,Math,65,110,1,2,550,640,1190,3.4,2
Sophomore,F,Nobel,Math,68,145,8,8,560,570,1130,2.9,2
FirstYear,M,Olympic,Math,73,195,3,4,560,620,1180,3.5,0
Sophomore,M,Olympic,Math,74,200,1,2,550,650,1200,3,0
Sophomore,M,Olympic,Math,70,167,1,2,550,680,1230,3.3,0
Sophomore,M,Nobel,Math,71,175,3,2,700,720,1420,3.7,0
Sophomore,F,Academy,Verbal,67,155,1,1,610,590,1200,3.48,2
Junior,M,Nobel,Math,74,185,1,2,570,580,1150,3.4,0
FirstYear,M,Olympic,Math,68,190,1,1,550,560,1110,2.5,0
Senior,M,Olympic,Verbal,72,165,1,2,500,500,1000,3.3,0
Junior,M,Academy,Math,62,175,2,3,610,620,1230,3.5,0
Sophomore,F,Nobel,Math,66,126,5,6,610,650,1260,3.79,1
FirstYear,M,Olympic,Math,70,187,3,2,500,560,1060,3.3,0
Senior,M,Nobel,Verbal,72,170,2,2,640,640,1280,2.9,0
FirstYear,F,Olympic,Math,67,158,4,2,490,520,1010,2.68,2
Sophomore,F,Olympic,Math,62,119,1,2,560,580,1140,3.28,4
FirstYear,M,Olympic,Math,73,205,1,1,560,640,1200,3.51,0
Sophomore,F,Academy,Math,67,129,1,1,470,600,1070,2.6,4
Sophomore,F,Academy,Verbal,67,145,0,1,680,670,1350,3.85,2
Junior,F,Nobel,Verbal,64,130,0,1,570,570,1140,2.4,4
Senior,M,Nobel,Verbal,72,215,3,1,630,590,1220,3.4,0
Sophomore,F,Nobel,Verbal,64,135,2,3,580,540,1120,2.4,7
Sophomore,F,Olympic,Verbal,70,145,0,1,550,500,1050,3,2
FirstYear,F,Olympic,Math,60,98,2,2,490,550,1040,3.1,5
FirstYear,M,Olympic,Math,71,150,1,1,590,650,1240,2.94,0
Junior,M,Olympic,Verbal,73,159,1,1,620,620,1240,3.31,0
Senior,M,Olympic,Verbal,72,174,1,2,560,550,1110,3.3,0
Sophomore,M,Olympic,Math,74,160,1,2,630,690,1320,2.9,0
Senior,M,Olympic,Math,70,165,1,2,600,630,1230,3.4,0
Sophomore,F,Olympic,Math,69,161,1,2,550,650,1200,3.16,2
Senior,F,Nobel,Math,64,130,2,2,640,730,1370,3.84,4
Junior,M,Olympic,Math,72,175,2,1,650,670,1320,3.6,1
Senior,M,Olympic,Math,70,255,2,2,420,520,940,2.36,0
Junior,M,Olympic,Verbal,65,160,4,4,500,480,980,2.9,0
FirstYear,M,Academy,Verbal,72,160,0,1,620,600,1220,3,0
Junior,F,Academy,Math,63,95,0,1,600,660,1260,3.3,4
Sophomore,F,Olympic,Math,64,115,2,2,580,680,1260,3.7,2
Sophomore,F,Academy,Math,64,120,1,1,490,520,1010,2.9,2
FirstYear,F,Nobel,Verbal,65,135,2,3,630,620,1250,3.6,2
Sophomore,M,Academy,Math,73,180,1,2,600,670,1270,3.56,0
Senior,M,Nobel,Math,71,155,0,1,590,610,1200,3.7,2
FirstYear,F,Olympic,Verbal,66,110,2,1,550,520,1070,4,5
FirstYear,M,Olympic,Verbal,73,215,2,3,600,600,1200,3.4,0
Sophomore,F,Olympic,Math,65,140,3,4,600,650,1250,3.3,5
FirstYear,M,Olympic,Verbal,72,195,2,2,600,600,1200,3.1,1
Sophomore,M,Nobel,Verbal,73,185,2,1,650,530,1180,2.5,0
Sophomore,M,Nobel,Verbal,70,185,2,1,650,650,1300,3.2,0
Senior,M,Olympic,Verbal,79,209,1,1,560,520,1080,3.1,0
Senior,F,Olympic,Math,67,145,3,2,540,640,1180,3.5,5
Sophomore,F,Olympic,Verbal,66,140,1,1,640,600,1240,3,6
FirstYear,F,Nobel,Verbal,66,146,1,2,690,620,1310,3.25,5
FirstYear,F,Olympic,Verbal,68,130,2,1,600,580,1180,2.4,2
Sophomore,F,Nobel,Math,67,140,1,2,610,650,1260,3.22,2
Sophomore,F,Olympic,Math,65,160,3,3,580,640,1220,3.64,4
Sophomore,F,Nobel,Math,66,120,1,1,560,580,1140,3.5,2
Sophomore,M,Academy,Math,76,150,1,1,620,680,1300,2.5,0
Sophomore,M,Olympic,Math,69,155,1,1,620,660,1280,3.4,0
FirstYear,F,Olympic,Math,64,143,2,2,430,610,1040,3.25,3
Junior,F,Nobel,Verbal,65,155,2,1,640,640,1280,3.7,7
FirstYear,F,Olympic,Math,67,119,2,1,490,590,1080,2.1,1
Sophomore,F,Academy,Math,66,138,1,2,550,560,1110,2.8,7
Senior,M,Academy,Verbal,72,240,1,1,690,550,1240,3.49,0
FirstYear,F,Nobel,Verbal,65,160,1,1,550,550,1100,3.83,3
FirstYear,M,Nobel,Math,69,165,5,4,530,610,1140,2.7,0
Sophomore,M,Olympic,Math,73,200,2,3,520,620,1140,2.8,0
FirstYear,F,Olympic,Verbal,62,125,1,1,660,520,1180,3.13,2
Sophomore,F,Nobel,Verbal,69,140,2,3,800,680,1480,3.62,4
Sophomore,M,Nobel,Math,73,206,1,1,560,660,1220,2,0
FirstYear,M,Nobel,Math,76,275,1,2,610,640,1250,3.6,0
Sophomore,M,Olympic,Math,70,142,1,2,660,680,1340,4,0
